episode,season,e_title,e_time,day_of_week,location,keywords
1,S01E01,The Gang Gets Racist,12:45 AM,On a Thursday,"Philadelphia, PA",
2,S01E02,Charlie Wants an Abortion,11:45 AM,On a Tuesday,"Philadelphia, PA", 
3,S01E03,“Underage Drinking: A National Concern”,9:45 PM,On a Friday,"Philadelphia, PA",
4,S01E04,Charlie Has Cancer,12:40 PM,On a Tuesday,"Philadelphia, PA",
5,S01E05,Gun Fever,11:25 AM,On a Friday,"Philadelphia, PA", 
6,S01E06,The Gang Finds a Dead Guy,10:25 AM,On a Friday,"Philadelphia, PA",
7,S01E07,Charlie Got Molested,11:15 AM,On a Monday,"Philadelphia, PA", 
8,S02E01,Charlie Gets Crippled,10:15 PM,On a Monday,"Philadelphia, PA",
9,S02E02,The Gang Goes Jihad,03:30 PM,On a Monday,"Philadelphia, PA",
10,S02E03,Dennis and Dee Go on Welfare,04:30 PM,On a Wednesday,"Philadelphia, PA",
11,S02E04,“Mac Bangs Dennis' Mom”,04:30 PM,On a Friday,"Philadelphia, PA",
12,S02E05,Hundred Dollar Baby,11:30 PM,On a Tuesday,"Philadelphia, PA",
13,S02E06,The Gang Gives Back,11:15 AM,On a Monday,"Philadelphia, PA",
14,S02E07,The Gang Exploits a Miracle,11:00 AM,On a Tuesday,"Philadelphia, PA",
15,S02E08,The Gang Runs for Office,10:15 AM,On a Wednesday,"Philadelphia, PA",
16,S02E09,“Charlie Goes America All Over Everybody's Ass”,02:30 AM,On a Saturday,"Philadelphia, PA",
17,S02E10,Dennis and Dee Get a New Dad,8:00 AM,On a Monday,"Philadelphia, PA",
18,S03E01,The Gang Finds a Dumpster Baby,4:30 PM,On a Wednesday,"Philadelphia, PA", 
19,S03E02,The Gang Gets Invincible,10:30 AM,On a Wednesday,"Philadelphia, PA", 
20,S03E03,Dennis and Dee's Mom is Dead,12:00 PM,On a Monday,"Philadelphia, PA", 
21,S03E04,The Gang Gets Held Hostage,1:30 PM,On a Wednesday,"Philadelphia, PA", 
22,S03E05,The Aluminum Monster vs. Fatty Magoo,11:30 AM,On a Tuesday,"Philadelphia, PA", 
23,S03E06,The Gang Solves the North Korea Situation,4:00 PM,On a Monday,"Philadelphia, PA",
24,S03E07,The Gang Sells Out,2:30 PM,On a Tuesday,"Philadelphia, PA",
25,S03E08,Frank Sets Sweet Dee on Fire,6:00 PM,On a Wednesday,"Philadelphia, PA","I'm just palling around with the guys, how's anybody going to get hurt?"
